Transaction_Text,Expected,Predicted,Confidence,Exception
monthly loan deduction,EMI,EMI,0.6733839533499231,False
IMPS/ZERODHA BROKING/EQUITY DELIVERY,Investment,Investment,0.7755642761244044,False
UPI GROWW SIP,Investment,Investment,0.6104960892041565,False
MF SIP AUTO DEBIT,Investment,Investment,0.8702780404018133,False
mutual fund purchase,Investment,Investment,0.8501955154736689,False
FD BOOKING,Investment,Investment,0.8292685441816183,False
fixed deposit investment,Investment,Investment,0.9896144546977459,False
DEMAT STOCK BUY,Investment,Investment,0.5552769433315686,True
UPSTOX EQUITY PURCHASE,Investment,Investment,0.7181304947213745,False
ANGEL ONE SHARES,Investment,Investment,0.5027985258389038,True
ETF INVESTMENT,Investment,Investment,0.9814625716383963,False
NPS CONTRIBUTION,Investment,Investment,0.8806368604605744,False
PPF A/C CONTRIBUTION,Investment,Investment,0.943913265631977,False
bond subscription,Investment,Investment,0.5287656944688099,True
government bond purchase,Investment,Investment,0.5944747796112182,True
stock market investment,Investment,Investment,0.8784844640885598,False
equity delivery debit,Investment,Investment,0.7437169803138332,False
portfolio investment,Investment,Investment,0.7745073481826922,False
retirement contribution,Investment,Investment,0.7299073038281109,False
recurring deposit investment,Investment,Investment,0.8754282851679059,False
securities purchase,Investment,Investment,0.6268041257368328,False
POS AMAZON.IN MUMBAI IN,Shopping,Shopping,0.6934956094096981,False
AMAZON ONLINE ORDER,Shopping,Shopping,0.9091839452595218,False
POS CROMA ELECTRONICS,Shopping,Shopping,0.7195233388942734,False
FLIPKART ORDER ID,Shopping,Shopping,0.8278594179327506,False
MYNTRA FASHION ORDER,Shopping,Shopping,0.8933420367323007,False
AJIO CLOTHING PURCHASE,Shopping,Shopping,0.8528378198082717,False
MEESHO ORDER,Shopping,Shopping,0.6923253867567799,False
RELIANCE DIGITAL ELECTRONICS,Shopping,Shopping,0.9644181091564002,False
TITAN RETAIL PURCHASE,Shopping,Shopping,0.8229440910306713,False
TANISHQ JEWELLERY,Shopping,Shopping,0.516435205163573,True
IKEA HOME FURNISHING,Shopping,Shopping,0.6803933624468192,False
DECATHLON SHOPPING,Shopping,Shopping,0.7845445860662983,False
NYKAA COSMETICS ORDER,Shopping,Shopping,0.6872145206778512,False
retail store card payment,Shopping,Shopping,0.5630059798716297,True
electronics purchase,Shopping,Shopping,0.9533101038277105,False
clothing purchase,Shopping,Shopping,0.9039016437285515,False
home appliance purchase,Shopping,Shopping,0.7436852683907846,False
mobile phone purchase,Shopping,Shopping,0.7120212115805451,False
laptop purchase,Shopping,Shopping,0.7252097008677393,False
online ecommerce order,Shopping,Shopping,0.826531289666988,False
