Transaction_Text,Label,source
UPI Ref*2230602496 Cafe Mal Bill*85993739,Food,extreme_augmented
REF*8201764785-BAKERY-CAFE-PAYMENT-PAID,Food,extreme_augmented
urchase canteen grocery,Food,extreme_augmented
TXN swiggy grocery purchase*1657197,Food,extreme_augmented
Ref_2917255275 IMPS foodcourt grocery purchase ORDER,Food,extreme_augmented
UTR*8158389713 TXN starbucks cafe payment,Food,extreme_augmented
ECS FOODCOURT RESTAURANT PAYMENT SUCCESS 41379132,Food,extreme_augmented
swiggy cafe payment,Food,extreme_augmented
psyment bigbasket restaurant,Food,extreme_augmented
swiggy-dinner-order,Food,extreme_augmented
dmoinos:dinner:order SUCCESS,Food,extreme_augmented
NEFT starbucks:meal:bill DR,Food,extreme_augmented
roder food foodcourt,Food,extreme_augmented
Cafe Grocery Payment PAYMENT,Food,extreme_augmented
UTR 7883266678 blinKit caFE PaymenT COMPLETED,Food,extreme_augmented
UPI Ref/4094329191 fOOdCOurt foOdo rder,Food,extreme_augmented
Restsurant Bill_14716108 Meal,Food,extreme_augmented
ID_6176176402 NEFT-food-cafe-order,Food,extreme_augmented
POS*Ref/7770023329*supermarket*meal*bill_51135155,Food,extreme_augmented
ECS canteen cafe payment DEBIT,Food,extreme_augmented
Txn Ccd Dinner Order Payment,Food,extreme_augmented
ID/8387968850 ccd dinner order CARD,Food,extreme_augmented
UTR:5797800747 IMPS restaurant cafe payment_28927100 ORDER,Food,extreme_augmented
purchase 7627634059 COMPLETED grocery ID ozmato,Food,extreme_augmented
Ref-4521940472 IMPS canteen cafe payment,Food,extreme_augmented
UTR-3610300934 meal instamrt bill,Food,extreme_augmented
payment*44446079 cafe MERCHANT cafe,Food,extreme_augmented
CANTEEN FOOD ORDER_77577614 ACCOUNT,Food,extreme_augmented
ORDER grocery purhase starbucks,Food,extreme_augmented
Ref 8884682770 ccd/cafe/payment,Food,extreme_augmented
UTR 1770184792 paYmeNt*foodcourt*Cafe-92893120,Food,extreme_augmented
ECS swiggy cafe payment CHARGE,Food,extreme_augmented
UTR_377195090 ECS bIll-suPermARket-meaL,Food,extreme_augmented
Ref 890328908 instamart dinner order,Food,extreme_augmented
Ref*2030336438 ECS_kfc_Meal_bIlL-57570792,Food,extreme_augmented
IMPS zEptO gRoCery puRchase,Food,extreme_augmented
pizzahut_grocery_purchase/663724282,Food,extreme_augmented
NACH*UTR_9754702710*FooDcouRt*dinNeR*ordEr,Food,extreme_augmented
1716210484 Ref cafe payment bigbbasket,Food,extreme_augmented
ID*4299688091 Imps Kfc Grocery Purchase REF,Food,extreme_augmented
PIzZAHuT rEStAuaRNT paYmEnt:76287922 REF,Food,extreme_augmented
Ref-76044008763-inStaMaRT-dInNer-ordEr,Food,extreme_augmented
UTR/3280984852 ECS Pizzahut*Food*Order TXN,Food,extreme_augmented
purchase*71265856 dunzo grocery,Food,extreme_augmented
BigbasketC afe Payment ORDER,Food,extreme_augmented
order bllinkit food*35126858,Food,extreme_augmented
POS supermarket food order_15018314 ONLINE,Food,extreme_augmented
ID*1190592936 NACH pizzahut cafe pament MERCHANT,Food,extreme_augmented
Ref-456522857 gricery grocery purchase*85373055,Food,extreme_augmented
UTR 4488250136 MCDONALDS MEAL BILL/92548974,Food,extreme_augmented
dinner_ACCOUNT_order_instamart,Food,extreme_augmented
payment NEFT bakery CARD restaurant,Food,extreme_augmented
ZEPTO GROCERY PURCHAASE/77247443,Food,extreme_augmented
resTauRant ORdeR:2139132 fooD,Food,extreme_augmented
ID:8642153465 Foodcourt/Meal/Bill-14979021,Food,extreme_augmented
Ref_9061589186 rder restaurant food REF,Food,extreme_augmented
Txn Kfc Food Order-29162013,Food,extreme_augmented
Foodcourt Restaurant Payment/94972840,Food,extreme_augmented
ID:523544863 Dominos Grocery Purchase 76280604,Food,extreme_augmented
Utr-8363038678 Bill Upi Meal Zepto Merchant,Food,extreme_augmented
UTR-6507365193*SUPERMARKET*INNER*ORDER,Food,extreme_augmented
UTR*5304663723 BGIBASKET GROCERY PURCHASE PAID,Food,extreme_augmented
Ref*4615312453 NACH bakery restaurant payment,Food,extreme_augmented
Nach Canteen Id-3906505845 Cafe Payment,Food,extreme_augmented
SWIGGY-RESTAURANT-PAYMENT SUCCESS,Food,extreme_augmented
Pos Id 4812502628 Foodcourt Food Order,Food,extreme_augmented
supermarket*dinner*order 2404338023 UTR,Food,extreme_augmented
ID*3094705378 UPI supermarket dinner order,Food,extreme_augmented
ID*5610300315 swigy food order,Food,extreme_augmented
Ref*3785419219 starbucs meal bill,Food,extreme_augmented
Ref_8052126656 BANK STARBUCKS DINNER ORDER,Food,extreme_augmented
BANK staarbucks meal bill_24994542,Food,extreme_augmented
restaurant NACH payment Ref-7566537396 PAID kfc,Food,extreme_augmented
DINNer ordER BIgbasEt ID_4192583211:89187411,Food,extreme_augmented
NEFT:order:kfc:food,Food,extreme_augmented
Zepto/Cafe/Payment__75596322,Food,extreme_augmented
ID*7331908218/OMATO/CAFE/PAYMENT/TXN,Food,extreme_augmented
starbuckss meal bill*26355201,Food,extreme_augmented
ID/2811403038 TXN canteen*meal*bill,Food,extreme_augmented
NACH/bigbasket/meal/bill/CHARGE,Food,extreme_augmented
ID*8084907755 dUnZo dinner oRder,Food,extreme_augmented
restaurant dinner order:99717443,Food,extreme_augmented
TXN UTR*3540706395*restaurant*grocery*purchase SUCCESS,Food,extreme_augmented
food POOS blinkit order_19902264,Food,extreme_augmented
payment restaurant bakery UPI ORDER,Food,extreme_augmented
cafe pyment bakery REF,Food,extreme_augmented
UTR/5928815341 EC SZomato Cafe Payment_3857962,Food,extreme_augmented
ID*8665436671 Restaurant Cafe Payment Charge:68704113,Food,extreme_augmented
bill swiggy meal PAID,Food,extreme_augmented
ID:27992183 blinkit-REsTAUrAnT-payEmnt TXN,Food,extreme_augmented
restaurant food order_46866404 ORDER,Food,extreme_augmented
UTR-3668616286 supermarrket order_14807380 dinner,Food,extreme_augmented
Ref_8256944906-Canteen-Food-Order-87048219,Food,extreme_augmented
UPI bill cafe meal CHARGE:68581434,Food,extreme_augmented
NACH UTR_4422603703 bakery restaurant payment COMPLETED-55620413,Food,extreme_augmented
ECS UTR_7184178079 foodcourt cafe payment 46596117,Food,extreme_augmented
IMPS canteen cafe paynent 77095444 ORDER,Food,extreme_augmented
ECS restaurant UTR*1408677269 purchase_59020445 grocery,Food,extreme_augmented
BLINKIT FOOD OORDER*14225918,Food,extreme_augmented
ID_1151149513 TXN ccd restaurant payment,Food,extreme_augmented
UTR*6334148970 foODCOURt mEAl BIlL ORDER,Food,extreme_augmented
CanTeen DiNNRE oRdeR ORDER,Food,extreme_augmented
Pos/Supermarket/Cafe/Payment,Food,extreme_augmented
ccd food order*16058795 CHARGE,Food,extreme_augmented
bakery food orderr*54531196,Food,extreme_augmented
ID-646299426-foodcourt-food-order,Food,extreme_augmented
NACH/Ref-1555644668/bigbasket/retsaurant/payment,Food,extreme_augmented
canteen ECS PAID order UTR/2498211230 dinner,Food,extreme_augmented
gRoCery REf-1505141762 ResTaURANT pUrchasE ONLINE,Food,extreme_augmented
UPI Blinkit Grocery Purchase,Food,extreme_augmented
TXN UTR-2763234108 dominOs dINner OrdEr,Food,extreme_augmented
Cafe*Grocery*Purchase/74141237,Food,extreme_augmented
BIGBASKET Ref-40233485 FOOD DR ORDER,Food,extreme_augmented
payment PAID swgigy cafe 18276996,Food,extreme_augmented
swiggy neal bill:57379037,Food,extreme_augmented
Bill Meal Bigbasket/92489852,Food,extreme_augmented
PAYMENT/RESTAURANT/COMPLETED/PIZZAHUT-40536080,Food,extreme_augmented
UPI zomato food oorder,Food,extreme_augmented
ID_8848548258 order dinner instamart,Food,extreme_augmented
ID 6863383290 Dunzo Dinner Order:87194557 Dr,Food,extreme_augmented
UTR:7321535345 dominos dinner odrer,Food,extreme_augmented
UTR-6840500036 ccd_grocery_purchase*53030124 PAID,Food,extreme_augmented
IMPS payent restaurant foodcourt REF_86109630,Food,extreme_augmented
zepto restaurnat payment_91211582 CARD,Food,extreme_augmented
UPI zomato*pyament*cafe*66515118,Food,extreme_augmented
zepTO_groCEry_PUrCHAsE COMPLETED,Food,extreme_augmented
NACH mcdonalds-dinner-order-50536466,Food,extreme_augmented
ID-6789895559 foodcourt caf payment,Food,extreme_augmented
dominos:restaurant:payment CARD,Food,extreme_augmented
Ref-60123891 BANK:bigbasket:restaurant:payment,Food,extreme_augmented
ID/766064439 IMPS INSTAMART RESTAURANT PAYMENT 97992861 ACCOUNT,Food,extreme_augmented
bill-UPI-meal-MERCHANT-grocery,Food,extreme_augmented
dunzo dinner order COMPLETED*34724398,Food,extreme_augmented
Pizzahut Restaurant Payment/84590600,Food,extreme_augmented
DUNZO CAFE PAYMENT CHARGE,Food,extreme_augmented
BANK dominos*meal*bill-86497196,Food,extreme_augmented
NEFT ccd food order*21941977 PAID,Food,extreme_augmented
UTR 501124781 payment zomato restaurant*9731985,Food,extreme_augmented
Ref:9036936271 swiggy/dinner/order,Food,extreme_augmented
Ref:2583231381 zomato restaurant payment ORDER,Food,extreme_augmented
UPI Ref:2306136955:canteen:grocery:purchase,Food,extreme_augmented
grocery restaurant payment EBIT_61082769,Food,extreme_augmented
NACH*rESTaUrAnt*pAyment*restauRAnt,Food,extreme_augmented
POS SUUPERMARKET MEAL BILL-76210338,Food,extreme_augmented
bakery restaurant payment SUCCESS_42915466,Food,extreme_augmented
REF-6392001479*ZEPTO*RESTAURANT*PAYMENT*ONLINE,Food,extreme_augmented
POS cafe:food:order:ACCOUNT 39764224,Food,extreme_augmented
1620482513 GOIBIBO HOTEL BOOKING Ref ACH,Travel,extreme_augmented
UTR/8004021087 METRo farre cab,Travel,extreme_augmented
BANK Railway Flight Tickket,Travel,extreme_augmented
fare*24058359 ID 1607153725 cab oyoo CARD,Travel,extreme_augmented
UTR 2163399744 Ecs Petrol Hotel Booking,Travel,extreme_augmented
BANK/redbus/fuEL/pAymenT*1647009/PAID,Travel,extreme_augmented
Id_3298132218 Txn Akaas Rail Ticket,Travel,extreme_augmented
ID_4509113473*peTrol*Cab*far*ePAID,Travel,extreme_augmented
fuel psyment oyo MERCHANT,Travel,extreme_augmented
Ref_9538889424 TXN makemytrip:cab:fare,Travel,extreme_augmented
Ref/5824733242 MAKemytrip_FuEl_paymENt CHARGE,Travel,extreme_augmented
POS BOOKING 354517407 AIRINDIA HOTLE Ref,Travel,extreme_augmented
IMPS*akasa*fuel*pamyent,Travel,extreme_augmented
POS-Taxi-Rail-Ticket,Travel,extreme_augmented
Fuel Travel Payment DEBIT,Travel,extreme_augmented
fuel*payment*uber:98674222,Travel,extreme_augmented
BANK fuel TrAvel payMeNt_94381030 CARD,Travel,extreme_augmented
TXN UTR-1359638773 tAXi cA bfare,Travel,extreme_augmented
ID/8873186802 rapidoo travel payment_1044017,Travel,extreme_augmented
airrport BANK payment/91013479 fuel,Travel,extreme_augmented
rail ID:6717835650 indigo MERCHANT/10946746 ticket,Travel,extreme_augmented
airindia hotel booking REF,Travel,extreme_augmented
PAID rail ticKet uber,Travel,extreme_augmented
GOIBIBO PAYMENT ECS FUL PAID,Travel,extreme_augmented
payment ONLINE travel oa,Travel,extreme_augmented
UPI fuel-payment-uber,Travel,extreme_augmented
POS:redbus:travel:payment:ACCOUNT,Travel,extreme_augmented
cab-indigo-fare,Travel,extreme_augmented
IMMPS:OLA:CAB:FARE,Travel,extreme_augmented
NACH inDiGo:rail:tiCkEt:ACCOUNT,Travel,extreme_augmented
fuel*flight*ticket ECS ID_5418298148,Travel,extreme_augmented
Ref/1647249564 bOoKing-raiL-TICKet-DR-49867361,Travel,extreme_augmented
Flight Taxi Ticket SUCCESS,Travel,extreme_augmented
POS Ref/7829944596 goibibo_rail_ticket*49474902,Travel,extreme_augmented
Imps Fuel Payment Travel Account,Travel,extreme_augmented
Makemytrip*Fuel*Payment*SUCCCESS:66053691,Travel,extreme_augmented
NACH Akasa Fuel Payment,Travel,extreme_augmented
payment_39179286 travel iocl PAYMENT,Travel,extreme_augmented
ticket rail goibibo SUCCESS*74988876 UTR_9121721453,Travel,extreme_augmented
rapido-PAID-hotel-boooking,Travel,extreme_augmented
BANK Taxi-Hotel-Booking*87943065,Travel,extreme_augmented
ID_9232700987 FUEL:PAYMENT:69910503:PETROL,Travel,extreme_augmented
UTR 9149516126 TXN_rapido_fuel_payment_76534983,Travel,extreme_augmented
UTR/2909828403 goIbIbo tickeT rAil,Travel,extreme_augmented
uber:flight:ticket/6235061:MERCHANT,Travel,extreme_augmented
Ref*4259341044_rapdio_rail_ticket_56204567,Travel,extreme_augmented
uber fuel paynent,Travel,extreme_augmented
ID/5506244966 Rapido Rail Ticket,Travel,extreme_augmented
UTR-1379819778 Fuel Rail Ticket-57387821,Travel,extreme_augmented
BANK DR petrol/ful/payment,Travel,extreme_augmented
Txn Id:7456152721 Airindia Rail Ticket,Travel,extreme_augmented
CHARGE_70360435 metro UTR_7236929978 railticket,Travel,extreme_augmented
ID:8830713064 petRol HoTeL bookImg PAID,Travel,extreme_augmented
TXN irctc_hotel_booking_CHARGE:74315702,Travel,extreme_augmented
IrCTc FFlIght tickEt,Travel,extreme_augmented
ID-444376250 flight ticket petrol_54674416,Travel,extreme_augmented
Ref_2811576455 IMPS iocl/travel/payment MERCHANT:42633053,Travel,extreme_augmented
Metro Trravel Payment MERCHANT,Travel,extreme_augmented
Fuuel HoteL BOOkIng 57078966 COMPLETED,Travel,extreme_augmented
POS irctc cab farre MERCHANT_13620224,Travel,extreme_augmented
paymen tfuel fuel,Travel,extreme_augmented
ECS ictc rail ticket,Travel,extreme_augmented
ID-3593113323 airinDia:hOtEL:BookiNgT XN,Travel,extreme_augmented
ID*4574322979 AKASA FLIGHT TICKET REF,Travel,extreme_augmented
fuel/rail/ticket ID/2852995186 CARD,Travel,extreme_augmented
fuel-cab-fare DEBIT/9444924,Travel,extreme_augmented
NEFT Irctc Rail Ticket,Travel,extreme_augmented
Ref*6048518518 airport hotel booking,Travel,extreme_augmented
TXN/ID/6249607964/fuel/ola/payment 3128235,Travel,extreme_augmented
NACH UTR-2754652809 taxi flight ticket,Travel,extreme_augmented
IMPS railway fuel payment,Travel,extreme_augmented
UTR_7300035047 POS rapido travel payment SUCCESS,Travel,extreme_augmented
airindia/travel/payment*35679277/MERCHANT,Travel,extreme_augmented
pETrol-Fuel-pAymeNt,Travel,extreme_augmented
booking ufel payment,Travel,extreme_augmented
UTR 8050578427 redbus fliight ticket/61241653,Travel,extreme_augmented
POS OICl fUel payMent/47744818,Travel,extreme_augmented
Makemytrip Flight Ticket ONLINE,Travel,extreme_augmented
UPI rapido cb fare CHARGE 88439143,Travel,extreme_augmented
goibibo fuel payment_62323253,Travel,extreme_augmented
ticket flight makemytrip Ref-5535159970,Travel,extreme_augmented
ID_7669253090 akasa fuel payment:6721288,Travel,extreme_augmented
ID/8599669711/railway/flight/ticket ORDER,Travel,extreme_augmented
POS Indigo Cab Farre DR,Travel,extreme_augmented
BANK petrol FUEl PayMeNt/87292311,Travel,extreme_augmented
Redbus Travel Paymment,Travel,extreme_augmented
IRCTC/TRAVELP/AYMENT,Travel,extreme_augmented
ticketm:etro:flight:DR_1339088,Travel,extreme_augmented
PAID UPI boOking metRO HoteL,Travel,extreme_augmented
airport booking hotel DEBIT,Travel,extreme_augmented
UTR/6015015402 Goibibo Hotel Booking,Travel,extreme_augmented
NACH fUel_caB_fare,Travel,extreme_augmented
BANK-UTR_4815411043-oyo-cab-fare*53878064,Travel,extreme_augmented
ID 8396107203 IMPS goibbo-flight-ticket MERCHANT,Travel,extreme_augmented
uber*travel*payment:54387313 Ref_2136480114 ONLINE,Travel,extreme_augmented
Ref/8744212196 hOTeL_rEdbUs_BOOknIg,Travel,extreme_augmented
Ref:8114238442 goiBIBO fuEl paYMenT,Travel,extreme_augmented
ID-3497750225 BANK redbus_flight_ticket SUCCESS,Travel,extreme_augmented
CHARGE irctc travel payment,Travel,extreme_augmented
fuel_travel_payment 40817467 SUCCESS,Travel,extreme_augmented
NACH Ref:89257547 akasa:fuel:payment:24036217,Travel,extreme_augmented
POS petrol_fuel_payment,Travel,extreme_augmented
IMPS*Ref:5938932859*IOCL*CAB*FAER,Travel,extreme_augmented
UPI iocl:hotel:booking,Travel,extreme_augmented
REF_3874025082_AIRINDIA_HOTEL_BOOKING IMPS,Travel,extreme_augmented
hotel:ID/2115486457:railway:booking:8694698,Travel,extreme_augmented
BANK OYO-FLIGHT-TICKKET,Travel,extreme_augmented
railway-flight-ticket 60530555 PAID,Travel,extreme_augmented
railwAy RaiL tickET-44492644,Travel,extreme_augmented
NEFT_payment_fuel_metro_REF,Travel,extreme_augmented
POS metro hotel booking_42623612,Travel,extreme_augmented
ID:9087119827 Makemytrip Flight Ticket SUCCESS,Travel,extreme_augmented
PAYMENT Irctc/Cab/Fare,Travel,extreme_augmented
Metro Travel Payment PAYMENT,Travel,extreme_augmented
NEFT oyo_fuel_payment,Travel,extreme_augmented
rapIdo travEl PaymEnt*10450200 CHARGE,Travel,extreme_augmented
Ref 2832947445 BANK uber*rail*ticket 50862046 COMPLETED,Travel,extreme_augmented
UTR-4422488669 ola/fuel/payment,Travel,extreme_augmented
BANK airindia_fuel_payment,Travel,extreme_augmented
IMPS makemytrip travel payment*68621406,Travel,extreme_augmented
Ref-9825952039 PAYMENT taxi_fuel_payment POS,Travel,extreme_augmented
ECS oyo fuel payent*13810611,Travel,extreme_augmented
ola_travel_payment:73556870,Travel,extreme_augmented
Ref-4308395416:redbus:hotel:booking:POS_67402722,Travel,extreme_augmented
OYO hotell BooKiNg,Travel,extreme_augmented
NEFT hotel booking taxi Ref:358443985-77320767,Travel,extreme_augmented
NEFT MERCHANT-21241475 fuel makemtrip payment,Travel,extreme_augmented
faRE airpoRT cAb,Travel,extreme_augmented
ID*4003979041 travel_uber_payment,Travel,extreme_augmented
cab fare oyo_72110391,Travel,extreme_augmented
REf*5198025673:ubeR:cab:Fare:COMPLETED,Travel,extreme_augmented
TXN metro_ORDER_ccab_fare,Travel,extreme_augmented
Ref-3996302737*indigo*fuel*payment,Travel,extreme_augmented
NACH*AIriNdIa*HoTEl*BoikIng*ACCOUNT,Travel,extreme_augmented
makemmytrip travel payment DEBIT,Travel,extreme_augmented
Goibibo Rail Ticket,Travel,extreme_augmented
Ref:3518988774 ticket railway rail,Travel,extreme_augmented
Ref_5746197402/ola/flight/ticket/79320070,Travel,extreme_augmented
ID:7785402248:oLa:flIGHt:TIckET,Travel,extreme_augmented
Ref-6661291826 rapido cab fare,Travel,extreme_augmented
Ref-5654673595 TXN airpOrt rAiL ticket,Travel,extreme_augmented
ID/3697158933:BOoKinG:hOtEl:BookINg MERCHANT,Travel,extreme_augmented
Ref 7798223496 taxi payment NEFT travel 64602842 ONLINE,Travel,extreme_augmented
REF:6873234922 AKASA FARE ACB,Travel,extreme_augmented
Ref_7428665929/fUeL/raIL/ticke/tCOMPLETED,Travel,extreme_augmented
POS goibibo cab fare/53866265,Travel,extreme_augmented
Hotel Rapido Booking Psid,Travel,extreme_augmented
ID/7077208097 ticket airindia flight:6377715,Travel,extreme_augmented
NEFT Taxi Flight Ticket PAID,Travel,extreme_augmented
ECS fuwl 8475732148 payment-25471207 Ref travel,Travel,extreme_augmented
ECS fuel caab fare 91348467,Travel,extreme_augmented
ID-5592340216 irctc fuelp ayment/13922807,Travel,extreme_augmented
TXN/rapido/hotel/booking-181488143,Travel,extreme_augmented
IMPS irctc*rail*ticket,Travel,extreme_augmented
NACH airindia-flight-ticket,Travel,extreme_augmented
Upi/Ticket/Redbs/Flight,Travel,extreme_augmented
Ref_297080826 fuel goibio payment 2807547,Travel,extreme_augmented
POS/oyo/hotle/booking*84324880,Travel,extreme_augmented
POS UTR*2555578772 rail itcket petrol,Travel,extreme_augmented
IMPS payment rapido fuel ACCOUNT,Travel,extreme_augmented
TXN Fuel Petrol Online Payment,Travel,extreme_augmented
Redbus Flight Ticket Completed,Travel,extreme_augmented
TXN ID-1220395523 redbus rail ticket,Travel,extreme_augmented
indigo travel payment COMPLETED,Travel,extreme_augmented
ID-5454584394 METRI HOTEL BOOKING*94983519,Travel,extreme_augmented
ECS UTR_8700655813 fUEL TraveL pAymEnt:20392540,Travel,extreme_augmented
UPI metro fare cab-30465097,Travel,extreme_augmented
NEFT goibibo fuel payment ACCOUNT,Travel,extreme_augmented
TXN UTR*8857008030 UBEr TrAvel PaymEnt:64970920,Travel,extreme_augmented
Ref*2324430169 akasa flight ticket DEBIT/24789317,Travel,extreme_augmented
Ref*4776765252*flight*airindia*ticket/46218939,Travel,extreme_augmented
indigo ticket rail COMPLETED,Travel,extreme_augmented
UTR_3768838879 booking fuel payyment PAID,Travel,extreme_augmented
Ref_3991629072 taxifuel payment*37641840 DEBIT,Travel,extreme_augmented
BANK makemytrip rail tticket/89823467 TXN,Travel,extreme_augmented
IMPS fuel rail ticket TXN,Travel,extreme_augmented
BANK Iocl Fare Cab Paid,Travel,extreme_augmented
ACCOUNNT tiCkeT rEdBus raiL,Travel,extreme_augmented
NEFT AIRINDIA FARE CAB,Travel,extreme_augmented
BANK indigo flight ticket/92372445,Travel,extreme_augmented
Ref_6708869802/RAPIDO/TRAVEL/PAYMENT,Travel,extreme_augmented
ola_cab_fare,Travel,extreme_augmented
Railway*Rail*Ticket,Travel,extreme_augmented
FUEL PAYMENT-66156575 INDIGO,Travel,extreme_augmented
RAiLWaY hoteL boOkInG COMPLETED,Travel,extreme_augmented
NACH oyo:rail:ticket/45198594,Travel,extreme_augmented
Nach Irctc/Cab/Fare 95195970,Travel,extreme_augmented
Pos Redbus Flight Ticket Charge,Travel,extreme_augmented
9576179012 rAPiDO fUel ApyMeNt ID,Travel,extreme_augmented
NEFT irctc hotel booking-49559797,Travel,extreme_augmented
UTR_650027555 taxi*fuel*payment MERCHANT,Travel,extreme_augmented
UTR-6278024400-petrol-hotel-booking ORDER,Travel,extreme_augmented
Neft:Metro:Flight:Ticket,Travel,extreme_augmented
UPI/taxi/travel/paayment,Travel,extreme_augmented
Ref*1523172821 IRCTC*CAB*FARE-25970193,Travel,extreme_augmented
hotel booking ola UPI_47999724,Travel,extreme_augmented
Ref*1329715306/Booking/Cab/Faer,Travel,extreme_augmented
BANK oyo payment ID:1636213431 travel PAID,Travel,extreme_augmented
taxi rail ID*7516087929 ticket_70905506,Travel,extreme_augmented
fuel ticket fliight,Travel,extreme_augmented
oyo:fuel:payment DR-36963172,Travel,extreme_augmented
NEFT uBer*cab*faRe/39853176,Travel,extreme_augmented
FLIGHT TICKET POS PAYMENT OYO,Travel,extreme_augmented
ID-6718805469_makemytrip_hotel_booking,Travel,extreme_augmented
Ref_2406102934 POS booking travel payment DEBIT*78258646,Travel,extreme_augmented
Ref:176047277 Uber Flight Ticket/87636331,Travel,extreme_augmented
RAIL BOOKING TICKET,Travel,extreme_augmented
IMPS Ref-9951187759 fuel travel payment PAID-42652465,Travel,extreme_augmented
tRavel bOokINg POS payment DR,Travel,extreme_augmented
TXN trvael indigo payment,Travel,extreme_augmented
